2025-11-03 20:46:29 | WARNING | app.operations | divide attempted with division by zero: a=6, b=0
2025-11-03 20:46:29 | INFO | app.main | Application startup complete
2025-11-03 20:46:29 | INFO | app.main | Add requested: a=10.0 b=5.0
2025-11-03 20:46:29 | INFO | app.main | Add result: 15.0
2025-11-03 20:46:29 | INFO | app.main | testclient POST /add -> 200 in 1.96ms
2025-11-03 20:46:29 | INFO | httpx | HTTP Request: POST http://testserver/add "HTTP/1.1 200 OK"
2025-11-03 20:46:29 | INFO | app.main | Application shutdown initiated
2025-11-03 20:46:29 | INFO | app.main | Application startup complete
2025-11-03 20:46:29 | INFO | app.main | Subtract requested: a=10.0 b=5.0
2025-11-03 20:46:29 | INFO | app.main | Subtract result: 5.0
2025-11-03 20:46:29 | INFO | app.main | testclient POST /subtract -> 200 in 0.75ms
2025-11-03 20:46:29 | INFO | httpx | HTTP Request: POST http://testserver/subtract "HTTP/1.1 200 OK"
2025-11-03 20:46:29 | INFO | app.main | Application shutdown initiated
2025-11-03 20:46:29 | INFO | app.main | Application startup complete
2025-11-03 20:46:29 | INFO | app.main | Multiply requested: a=10.0 b=5.0
2025-11-03 20:46:29 | INFO | app.main | Multiply result: 50.0
2025-11-03 20:46:29 | INFO | app.main | testclient POST /multiply -> 200 in 0.79ms
2025-11-03 20:46:29 | INFO | httpx | HTTP Request: POST http://testserver/multiply "HTTP/1.1 200 OK"
2025-11-03 20:46:29 | INFO | app.main | Application shutdown initiated
2025-11-03 20:46:29 | INFO | app.main | Application startup complete
2025-11-03 20:46:29 | INFO | app.main | Divide requested: a=10.0 b=2.0
2025-11-03 20:46:29 | INFO | app.main | Divide result: 5.0
2025-11-03 20:46:29 | INFO | app.main | testclient POST /divide -> 200 in 0.82ms
2025-11-03 20:46:29 | INFO | httpx | HTTP Request: POST http://testserver/divide "HTTP/1.1 200 OK"
2025-11-03 20:46:29 | INFO | app.main | Application shutdown initiated
2025-11-03 20:46:29 | INFO | app.main | Application startup complete
2025-11-03 20:46:29 | INFO | app.main | Divide requested: a=10.0 b=0.0
2025-11-03 20:46:29 | WARNING | app.operations | divide attempted with division by zero: a=10.0, b=0.0
2025-11-03 20:46:29 | ERROR | app.main | Divide Operation Error: Cannot divide by zero!
2025-11-03 20:46:29 | ERROR | app.main | HTTPException on /divide: Cannot divide by zero!
2025-11-03 20:46:29 | INFO | app.main | testclient POST /divide -> 400 in 0.77ms
2025-11-03 20:46:29 | INFO | httpx | HTTP Request: POST http://testserver/divide "HTTP/1.1 400 Bad Request"
2025-11-03 20:46:29 | INFO | app.main | Application shutdown initiated
